Feature,Importance
날씨_코드,4251.304414606391
검색트렌드,3896.568967923612
인스타_좋아요수,2781.0023713796595
기온,2381.2588661067693
블로그_부정수,2319.966412934412
뉴스_긍정수,1694.169804848534
뉴스_전체수,1386.4767931533188
인스타_댓글수,1006.0718288561646
요일,752.0263225017196
유튜브_중립수,251.52433659430292
뉴스_부정수,66.2220032251447
유튜브_부정수,47.03291389657251
유튜브_조회수,-60.693612976946405
유튜브_좋아요수,-250.64649105552346
유튜브_댓글수,-435.5676534602304
강수량,-457.0067764514378
유튜브_긍정수,-627.2146654702983
블로그_전체수,-814.7075009679136
구름량,-1764.0154456158243
블로그_긍정수,-2200.7085563526693
풍속,-2510.970558524594
습도,-4276.156219200146
월,-5727.2711646667885
계절,-12588.776167179494
